song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
1118,MAIN THEME FROM 'THE THORN BIRDS',HENRY MANCINI AND HIS ORCHESTRA,87,LW:RE,23,8,1984-04-01,1984,1980,4
1216,SOMETIMES,SHIRLEY BASSEY,88,LW:RE,86,3,1984-04-01,1984,1980,4
1074,LOVE THEME FROM 'THE THORN BIRDS',JUAN MARTIN,91,LW:RE,10,10,1984-04-01,1984,1980,4
1063,HYPERACTIVE!,THOMAS DOLBY,97,LW:RE,17,10,1984-04-01,1984,1980,4
1186,DON'T ANSWER ME,THE ALAN PARSONS PROJECT,93,LW:RE,58,4,1984-04-08,1984,1980,4
1102,DOCTOR DOCTOR,THE THOMPSON TWINS,77,LW:RE,3,11,1984-04-15,1984,1980,4
1100,RADIO GA GA,QUEEN,84,LW:RE,2,10,1984-04-15,1984,1980,4
1166,MY GUY,TRACEY ULLMAN,89,LW:RE,23,7,1984-04-15,1984,1980,4
1274,THE FLAME,ANNABEL LAMB,93,LW:RE,93,2,1984-04-15,1984,1980,4
929,THRILLER,MICHAEL JACKSON,98,LW:RE,10,22,1984-04-15,1984,1980,4
1136,HIDE AND SEEK,HOWARD JONES,83,LW:RE,12,10,1984-04-22,1984,1980,4
270,BLUE MONDAY,NEW ORDER,94,LW:RE,9,53,1984-04-22,1984,1980,4
906,THIS CHARMING MAN,THE SMITHS,100,LW:RE,25,18,1984-04-22,1984,1980,4
1129,KISS ME,TINTIN,88,LW:RE,78,4,1984-04-29,1984,1980,4
1101,NEW MOON ON MONDAY,DURAN DURAN,91,LW:RE,9,8,1984-04-29,1984,1980,4
1156,THE MUSIC OF TORVILL AND DEAN (EP),RICHARD HARTLEY AND THE MICHAEL REED ORCHESTRA,78,LW:RE,9,11,1984-05-06,1984,1980,5
1083,WOULDN'T IT BE GOOD,NIK KERSHAW,87,LW:RE,4,15,1984-05-06,1984,1980,5
1240,BABY YOU' DYNAMITE,CLIFF RICHARD,72,LW:RE,27,7,1984-05-13,1984,1980,5
1145,YOUR LOVE IS KING,SADE,75,LW:RE,6,13,1984-05-13,1984,1980,5
1134,TO BE OR NOT TO BE (THE HITLER RAP),MEL BROOKS,97,LW:RE,12,12,1984-05-13,1984,1980,5
1168,ROBERT DE NIRO'S WAITING,BANANARAMA,79,LW:RE,3,12,1984-05-20,1984,1980,5
1291,SILVER,ECHO & THE BUNNYMEN,91,LW:RE,30,6,1984-05-27,1984,1980,5
1204,DR MABUSE,PROPAGANDA,99,LW:RE,27,10,1984-05-27,1984,1980,5
1236,YOU TAKE ME UP,THE THOMPSON TWINS,76,LW:RE,2,10,1984-06-03,1984,1980,6
1222,PEOPLE A PEOPLE,DEPECHE MODE,80,LW:RE,4,11,1984-06-03,1984,1980,6
1227,TIME AFTER TIME,CYNDI LAUPER,81,LW:RE,54,5,1984-06-03,1984,1980,6
1171,WOOD BEEZ (PRAY LIKE ATHA FRANKLIN),SCRITTI POLITTI,84,LW:RE,10,14,1984-06-03,1984,1980,6
1087,STET DANCE,BREAK MACHINE,100,LW:RE,3,16,1984-06-03,1984,1980,6
1318,MAJOR TOM (COMING HOME),PETER SCHILLING,73,LW:RE,42,7,1984-06-10,1984,1980,6
1388,MURDER,NEW ORDER,97,LW:RE,92,3,1984-06-10,1984,1980,6
1204,DR MABUSE,PROPAGANDA,99,LW:RE,27,11,1984-06-10,1984,1980,6
270,BLUE MONDAY,NEW ORDER,100,LW:RE,9,57,1984-06-10,1984,1980,6
1324,THE LEBANON,THE HUMAN LEAGUE,75,LW:RE,11,7,1984-06-17,1984,1980,6
1195,I'M FALLING,THE BLUEBELLS,95,LW:RE,11,15,1984-06-17,1984,1980,6
1238,AIN'T NOBODY,RUFUS AND CHAKA KHAN,78,LW:RE,8,13,1984-07-01,1984,1980,7
270,BLUE MONDAY,NEW ORDER,93,LW:RE,9,58,1984-07-01,1984,1980,7
1204,DR MABUSE,PROPAGANDA,94,LW:RE,27,12,1984-07-01,1984,1980,7
1349,ROMANCING THE STONE,EDDY GRANT,95,LW:RE,52,5,1984-07-01,1984,1980,7
1279,DANCING GIRLS,NIK KERSHAW,96,LW:RE,13,10,1984-07-01,1984,1980,7
1427,NO TIME TO STOP BELIEVING,DAISY CHAIN,97,LW:RE,97,3,1984-07-01,1984,1980,7
1344,BAK DANCE PARTY,BREAK MACHINE,65,LW:RE,9,9,1984-07-08,1984,1980,7
1432,BODY AND SOUL/TRAIN,THE SISTERS OF MERCY,76,LW:RE,46,4,1984-07-08,1984,1980,7
1480,AND I DON'T LOVE YOU,SMOKEY ROBINSON,90,LW:RE,90,2,1984-07-08,1984,1980,7
1374,INFATUATION,ROD STEWART,77,LW:RE,27,8,1984-07-15,1984,1980,7
1255,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),PHIL COLLINS,80,LW:RE,2,15,1984-07-15,1984,1980,7
1372,DANCING IN THE DARK,BRUCE SPRINGSTEEN,82,LW:RE,28,8,1984-07-15,1984,1980,7
1395,D GUITAR,DAVID SYLVIAN,84,LW:RE,17,6,1984-07-15,1984,1980,7
1377,ROUGH JUSTICE,BANANARAMA,85,LW:RE,23,8,1984-07-15,1984,1980,7
1288,JAM ON IT,NEWCLEUS,93,LW:RE,89,5,1984-07-22,1984,1980,7
1432,BODY AND SOUL/TRAIN,THE SISTERS OF MERCY,100,LW:RE,46,5,1984-07-22,1984,1980,7
1321,LET'S HEAR IT FOR THE BOY,DENIECE WILLIAMS,75,LW:RE,2,14,1984-07-29,1984,1980,7
