artist_id,Artist
895,THE STAPLE SINGERS
896,BONNIE POINTER
897,BARBRA STREISAND
898,SCANDAL FEATURING PATTY SMYTH
899,PHYLLIS ST JAMES
900,LATOYA JACKSON
901,EUGENE WILDE
902,FEARGAL SHARKEY
903,JUDGE DREAD
904,KENNY ROGERS WITH KIM CARNES AND JAMES INGRAM
905,TANGERINE DREAM
906,FEELABEELIA
907,CHAKA KHAN
908,CHICAGO
909,JERMAINE JACKSON AND PIA ZADORA
910,CHAMPAIGN
911,JIM DIAMOND
912,GAYLE ADAMS
913,STRAWBERRY SWITCHBLADE
914,GIRL TALK
915,PARIS
916,SHEILA E
917,THE DAZZ BAND
918,DALI'S CAR
919,CUTTY
920,MURRAY HEAD
921,POOKAH MAKES THREE
922,JAMES CAGNEY AND HUMPHREY BOGART
923,KING HENRY'S CONSORT
924,LINDA CLIFFORD
925,REDSKINS
926,SWITCH
927,BOBBY G
928,THE TEMPTATIONS
929,CHARME
930,PENNYE FORD
931,ASHFORD AND SIMPSON
932,FLOY JOY
933,FORCE MDS
934,KIMERA AND THE OPERAIDERS
935,NEW MODEL ARMY
936,PAUL MCCARTNEY AND THE FROG CHORUS
937,BREEKOUT KREW
938,ART GARFUNKEL
939,BOOMTOWN RATS
940,TOY DOLLS
941,SMILEY CULTURE
942,GENE CHANDLER
943,THELMA HOUSTON
944,FOREIGNER
945,IAN MCCULLOCH
946,SAL SOLO
947,ROY WOOD AND WIZZARD
948,ROY AYERS
949,THE INTRUDERS
950,THE BAR-KAYS
951,BAND AID
952,WIZZARD
953,DUNCAN BROWNE
954,KIKI DEE
955,THIS ISLAND EARTH
956,KEN DODD
957,COUNCIL COLLECTIVE
958,INSPIRATIONAL CHOIR
959,DIRECT DRIVE
960,BOUNCING CZECHS
961,RALPH MCTELL
962,RUSS ABBOT
963,AMII STEWART
964,ELAINE PAIGE AND BARBARA DICKSON
965,LIMIT
966,BRYAN ADAMS
967,VIDEO KIDS
968,TERRAPLANE
969,DR CALCULUS
970,BIG SOUND AUTHORITY
971,NUANCE FEATURING VIKKI LOVE
972,IMMACULATE FOOLS
973,SHERYL LEE RALPH
974,FUNKMEISTER
975,JAMES KING AND THE LONE WOLVES
976,TEENA MARIE
977,THE SWEET
978,DEEP PURPLE
979,JIMMY RUFFIN
980,HONEYDRIPPERS
981,ANTI-NOWHERE LEAGUE
982,EUGENE WILDE/SIMPLICIOUS
983,BARRINGTON LEVY
984,LITTLE BENNY AND THE MASTERS
985,EX PISTOLS
986,THE VILLAGE PEOPLE
987,SASSS
988,MONOCHROME SET
989,SILENT UNDERDOG
990,KOKO POP
991,SAM HARRIS
992,WILLIE FINLAYSON
993,BARBRA STREISAND AND KIM CARNES
994,MORGAN PASK
995,DAVID BOWIE AND THE PAT METHENY GROUP
996,SHARPE AND NUMAN
997,FINK BROTHERS
998,WILTON FELDER
999,PHYLLIS NELSON
1000,LES ENFANTS
1001,MICK JAGGER
1002,VAN TWIST
1003,TC CURTIS
1004,DAVID LEE ROTH
1005,JOHN FOGERTY
1006,ROLAND RAT SUPERSTAR!
1007,LATIN QUARTER
1008,TROUBLE FUNK
1009,EDDY AND THE SOUL BAND
1010,JULIA AND CO
1011,MIDNIGHT STAR
1012,DAVID CASSIDY
1013,GO WEST
1014,THE FIRM
1015,GLENN FREY
1016,REDDS AND THE BOYS
1017,DC ALLSTARS
1018,CHUCK BROWN AND THE SOUL SEARCHERS
1019,BARNBRACK
1020,STEPHEN 'TIN TIN' DUFFY
1021,THE JESUS AND MARY CHAIN
1022,THE BANGLES
1023,SOUTH AND ORCHESTRA
1024,REO SPEEDWAGON
1025,PHILIP BAILEY WITH PHIL COLLINS
1026,STARVATION
1027,BILLY CONNOLLY
1028,THIRD WORLD
1029,BIG DADDY
1030,THE RAMONES
1031,SPACE.
1032,JENNY BURTON
1033,BILLY BRAGG
1034,POWER STATION
1035,SIMON MAY
1036,DIONNE WARWICK AND BARRY MANILOW
1037,SPELT LIKE THIS
1038,RUN DMC
1039,PAUL QUINN
1040,CONSORT
1041,SARAH BRIGHTMAN AND PAUL MILES-KINGSTON
1042,DAVID GRANT AND JAKI GRAHAM
1043,HAROLD FALTERMEYER
1044,GODLEY AND CREME
1045,BOOTHILL FOOT TAPPERS
1046,DREAM ACADEMY
1047,THE POGUES
1048,DEBARGE
1049,BELOUIS SOME
1050,MAGNUM
1051,NARADA MICHAEL WALDEN AND PATTI AUSTIN
1052,FAITH BROTHERS
1053,LEGEAR
1054,UNTOUCHABLES
1055,WAR
1056,MADY MESPLE AND DANIELLE MILLET
1057,LOS LOBOS
1058,JAMES INGRAM
1059,TOM PETTY
1060,USA FOR AFRICA
1061,T.REX
